trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.3, 'e': 0.14660696213034982}",20,0,-36.119084290212044,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
65,False,"{'a': 0.3, 'e': 0.14227407158651326}",30,4,22.54982707799013,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.3, 'e': 0.1380692373108925}",20,13,14.565111709150285,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.3, 'e': 0.13398867466880465}",20,8,20.892953935681355,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.3, 'e': 0.1300287108784256}",25,5,7.912981800441658,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.3, 'e': 0.12618578170503844}",25,2,3.946289413911665,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.3, 'e': 0.12245642825298161}",30,0,-27.20021119222522,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
71,False,"{'a': 0.3, 'e': 0.11883729385240935}",25,8,26.30234966746028,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.3, 'e': 0.11532512103806224}",25,14,8.960039260835599,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.3, 'e': 0.11191674861732859}",30,19,22.906641851971557,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.3, 'e': 0.10860910882495771}",20,11,5.358553167378297,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.3, 'e': 0.10539922456186407}",25,12,1.4934495374055663,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.3, 'e': 0.1022842067155372}",25,0,-7.041219487727841,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
77,False,"{'a': 0.3, 'e': 0.0992612515596454}",20,7,-1.2728035829751547,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
78,False,"{'a': 0.3, 'e': 0.09632763823049276}",20,9,18.274904188171284,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.3, 'e': 0.09348072627805822}",20,3,25.397409000981163,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.3, 'e': 0.09071795328941225}",20,6,22.936430697396005,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.3, 'e': 0.08803683258237231}",20,0,23.041290478582745,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.3, 'e': 0.08543495096732098}",30,4,31.88386645338365,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.3, 'e': 0.08290996657517244}",25,11,5.910048383979341,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.3, 'e': 0.08045960674953219}",30,14,8.790010250567398,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.3, 'e': 0.07808166600115292}",20,12,-29.255393367531738,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
86,False,"{'a': 0.3, 'e': 0.07577400402284526}",20,2,29.15767440986762,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.3, 'e': 0.07353454376305688}",30,13,37.97826597133599,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.3, 'e': 0.07136126955638586}",25,5,-12.975391896866725,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
89,False,"{'a': 0.3, 'e': 0.06925222530934579}",20,5,6.040614087125741,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
